##BLOCKS= 1

Plate:	Plate#1	1.3	PlateFormat	Endpoint	Fluorescence	Raw	FALSE	1	485 	535 	1	12	96	1	8

Note: 	GFP Expression Assay - HEK293 cells transfected with GFP plasmid
Instrument Serial No.:	SM-2024-0042
Software Version:	SoftMax Pro 7.1.2
Date:	2024-03-22
Time:	2:15:06 PM

	Temperature(°C)	1	2	3	4	5	6	7	8	9	10	11	12
A	37.1	45623	44891	46102	8234	7956	8102	7845	8267	7934	8156	8023	7891
B	37.1	44230	45107	43988	8312	8056	7923	8178	7845	8234	7967	8289	8045
C	37.1	43756	44389	45012	29341	28956	30102	29678	28834	29956	30234	29567	28923
D	37.1	42891	43567	44102	28756	29312	28934	29567	28234	29845	28967	29123	30012
E	37.1	1234	1189	1267	52341	51956	53102	52678	51834	52956	53234	52567	51923
F	37.1	1345	1212	1178	51756	52312	51934	52567	51234	52845	51967	52123	53012
G	37.1	1156	1234	1289	78234	77956	79102	78678	77834	78956	79234	78567	77923
H	37.1	1045	1123	1067	77756	78312	77934	78567	77234	78845	77967	78123	79012

~End
